command,syntax
ipv6 dhcp relay destination (Interface),"['ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]', 'no ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]']"
show ipv6 dhcp,['show ipv6 dhcp']
show ipv6 dhcp interface,['show ipv6 dhcp interface [interface-id]']
clear host,['clear host {hostname | *}']
ip domain lookup,"['ip domain lookup', 'no ip domain lookup']"
ip domain name,"['ip domain name name', 'no ip domain name']"
ip domain polling-interval,"['ip domain polling-interval seconds', 'no ip domain polling-interval']"
ip domain retry,"['ip domain retry number', 'no ip domain retry']"
ip domain timeout,"['ip domain timeout seconds', 'no ip domain timeout']"
ip host,"['ip host hostname address1 [address2.address8]', 'no ip host name ip host name [address1.address8]']"
ip name-server,"['ip name-server server1-address [server-address2.erver-address8]', 'no ip name-server [server-address1.server-address8]']"
show hosts,['show hosts [all | hostname]']
eee enable (global),"['eee enable', 'no eee enable']"
eee enable (interface),"['eee enable', 'no eee enable']"
eee lldp enable,"['eee lldp enable', 'no eee lldp enable']"
show eee,['show eee [interface-id]']
interface,['interface interface-id']
interface range,['interface range interface-id-list']
shutdown,"['shutdown', 'no shutdown']"
operation time,"['operation time time-range-name', 'no operation time']"
description,"['description string', 'no description']"
speed,"['speed {100 | 1000 | 2500 | 5000 | 10000}', 'no speed']"
duplex,"['duplex {half | full}', 'no duplex']"
negotiation,"['negotiation [capability [capability2. capability5] [preferred {master | slave}]', 'no negotiation']"
flowcontrol,"['flowcontrol {auto | on | off}', 'no flowcontrol']"
mdix,"['mdix {on | auto}', 'no mdix']"
back-pressure,"['back-pressure', 'no back-pressure']"
port jumbo-frame,"['port jumbo-frame', 'no port jumbo-frame']"
link-flap prevention,"['link-flap prevention {enable | disable}', 'no link-flap prevention']"
clear counters,['clear counters [interface-id]']
set interface active,['set interface active interface-id']
errdisable recovery cause,"['errdisable recovery cause {all | port-security | dot1x-src-address | acl-deny | stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap }', 'no errdisable recovery cause {all | port-security | dot1x-src-address | acl-deny | stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap }']"
errdisable recovery interval,"['errdisable recovery interval seconds', 'no errdisable recovery interval']"
errdisable recovery reset,['errdisable recovery reset {all | port-security | dot1x-src-address | acl-deny |stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap | interface interface-id}']
show interfaces configuration,['show interfaces configuration [interface-id | detailed]']
show interfaces status,['show interfaces status [interface-id | detailed]']
show interfaces advertise,['show interfaces advertise [interface-id | detailed]']
show interfaces description,['show interfaces description [interface-id | detailed]']
show interfaces counters,['show interfaces counters [interface-id | detailed]']
show ports jumbo-frame,['show ports jumbo-frame']
show link-flap prevention,['show link-flap prevention']
show errdisable recovery,['show errdisable recovery']
show errdisable interfaces,['show errdisable interfaces [interface-id]']
clear switchport monitor,['clear switchport monitor [interface-id-list]']
show switchport monitor,"['show switchport monitor interface-id {seconds | minutes | hours | days |weeks} [utilization | tx | rx | frames]', 'show switchport monitor interface-id {days |weeks}', 'show switchport monitor utilization [interface-id]']"
cbd probe enable,"['cbd probe enable', 'no cbd probe enable']"
cbd address,"['cbd address {ip-address | hostname} [port port]', 'no cbd address']"
cbd key,"['cbd key id id-string secret secret-string', 'encrypted cbd key id id-string secret encrypted-secret-string', 'no cbd key']"
cbd connection enable,"['cbd connection enable', 'no cbd connection enable']"
cbd reset,['cbd reset']
clear cbd probe database,['clear cbd probe database']
show cbd,['show cbd']
File Specification,
System Flash Files,
Flash File System on Stack,
boot config,"['boot config startup-config-url', 'boot config running-config', 'boot config mirror-config', 'no boot config']"
boot localization,"['boot localization dictionary-url', 'no boot localization']"
boot system,"['boot system image-url', 'boot system inactive-image']"
cd,['cd url']
copy,"['copy src-url dst-url', '*copy {running-config | startup-config} dst-url', 'copy {running-config | startup-config} dst-url [exclude | include-encrypted | include-plaintext]', 'copy src-url running-config', 'copy running-config startup-config', 'copy tech-support cbd usb:/<file-path>']"
delete,"['delete url', 'delete startup-config']"
dir,['dir [url]']
mkdir,['mkdir url']
more,['more url']
pwd,['pwd [usb: I flash:]']
reload,"['reload [in [hhh:mm | mmm] | at hh:mm [day month] | cancel]', 'reload cancel']"
rename,['rename url new-url']
rmdir,['rmdir url']
service mirror-configuration,"['service mirror-configuration', 'no service mirror-configuration']"
show bootvar / show version,"['show bootvar', 'show version']"
show mirror-configuration service,['show mirror-configuration service']
show reload,['show reload']
show running-config,
show startup-config,['show startup-config [interface interface-id-list]']
write,"['write', 'write memory']"
clear gvrp statistics,['clear gvrp statistics [interface-id]']
gvrp enable (Global),"['gvrp enable', 'no gvrp enable']"
gvrp enable (Interface),"['gvrp enable', 'no gvrp enable']"
gvrp registration-forbid,"['gvrp registration-forbid', 'no gvrp registration-forbid']"
gvrp vlan-creation-forbid,"['gvrp vlan-creation-forbid', 'no gvrp vlan-creation-forbid']"
show gvrp configuration,['show gvrp configuration [interface-id | detailed]']
show gvrp error-statistics,['show gvrp error-statistics [interface-id]']
show gvrp statistics,['show gvrp statistics [interface-id]']
green-ethernet energy-detect (global),"['green-ethernet energy-detect', 'no green-ethernet energy-detect']"
green-ethernet energy-detect (interface),"['green-ethernet energy-detect', 'no green-ethernet energy-detect']"
green-ethernet short-reach (global),"['green-ethernet short-reach', 'no green-ethernet short-reach']"
green-ethernet short-reach (interface),"['green-ethernet short-reach', 'no green-ethernet short-reach']"
green-ethernet power-meter reset,['green-ethernet power-meter reset']
show green-ethernet,['show green-ethernet [interface-id | detailed ]']
clear ip igmp counters,['clear ip igmp counters [interface-id]']
ip igmp last-member-query-count,"['ip igmp last-member-query-count count', 'no ip igmp last-member-query-count']"
ip igmp last-member-query-interval,"['ip igmp last-member-query-interval milliseconds', 'no ip igmp last-member-query-interval']"
ip igmp query-interval,"['ip igmp query-interval seconds', 'no ip igmp query-interval']"
ip igmp query-max-response-time,"['ip igmp query-max-response-time seconds', 'no ip igmp query-max-response-time']"
ip igmp robustness,"['ip igmp robustness count', 'no ip igmp robustness']"
ip igmp version,"['ip igmp version {1 | 2 | 3}', 'no ip igmp version']"
show ip igmp counters,['show ip igmp counters [interface-id]']
show ip igmp counters,['show ip igmp counters [interface-id]']
show ip igmp groups,['show ip igmp groups [group-name | group-address | interface-id] [detail]']
show ip igmp groups summary,['show ip igmp groups summary']
show ip igmp interface,['show ip igmp interface [interface-id]']
ip igmp snooping (Global),"['ip igmp snooping', 'no ip igmp snooping']"
ip igmp snooping vlan,"['ip igmp snooping vlan vlan-id', 'no ip igmp snooping vlan vlan-id']"
ip igmp snooping vlan mrouter,"['ip igmp snooping vlan vlan-id mrouter learn pim-dvmrp', 'no ip igmp snooping vlan vlan-id mrouter learn pim-dvmrp']"
ip igmp snooping vlan mrouter interface,"['ip igmp snooping vlan vlan-id mrouter interface interface-list', 'no ip igmp snooping vlan vlan-id mrouter interface interface-list']"
ip igmp snooping vlan forbidden mrouter,"['ip igmp snooping vlan vlan-id forbidden mrouter interface interface-list', 'no ip igmp snooping vlan vlan-id forbidden mrouter interface interface-list']"
ip igmp snooping vlan static,"['ip igmp snooping vlan vlan-id static ip-address [interface interface-list]', 'no ip igmp snooping vlan vlan-id static ip-address [interface interface-list]']"
ip igmp snooping vlan multicast-tv,"['ip igmp snooping vlan vlan-id multicast-tv first-ip-multicast-address [last-ip-multicast-address | {count number}]', 'no ip igmp snooping vlan vlan-id multicast-tv first-ip-multicast-address [last-ip-multicast-address | {count number}]']"
ip igmp snooping map cpe vlan,"['ip igmp snooping map cpe vlan cpe-vlan-id multicast-tv vlan vlan-id', 'no ip igmp snooping map cpe vlan vlan-id']"
ip igmp snooping querier,"['ip igmp snooping querier', 'no ip igmp snooping querier']"
ip igmp snooping vlan querier,"['ip igmp snooping vlan vlan-id querier', 'no ip igmp snooping vlan vlan-id querier']"
ip igmp snooping vlan querier address,"['ip igmp snooping vlan vlan-id querier address ip-address', 'no ip igmp snooping vlan vlan-id querier address']"
ip igmp snooping vlan querier election,"['ip igmp snooping vlan vlan-id querier election', 'no ip igmp snooping vlan vlan-id querier election']"
ip igmp snooping vlan querier version,"['ip igmp snooping vlan vlan-id querier version {2 | 3}', 'no ip igmp snooping vlan vlan-id querier version']"
ip igmp snooping vlan immediate-leave,"['ip igmp snooping vlan vlan-id immediate-leave', 'no ip igmp snooping vlan vlan-id immediate-leave']"
ip igmp snooping map cpe vlan,"['ip igmp snooping map cpe vlan cpe-vlan-id multicast-tv vlan vlan-id', 'no ip igmp snooping map cpe vlan vlan-id']"
show ip igmp snooping groups,['show ip igmp snooping groups [vlan vlan-id] [address ip-multicast-address] [source ip-address]']
show ip igmp snooping interface,['show ip igmp snooping interface vlan-id']
